Question,Answer
When were the general elections held in India in 2024?,General elections were held in India from 19 April to 1 June 2024.
Over how many phases were the 2024 Indian general elections conducted?,The elections were conducted over seven phases.
When were the results of the 2024 Indian general elections declared?,The results were declared on 4 June 2024.
How many members of the Lok Sabha were elected in the 2024 general elections?,543 members of the Lok Sabha were elected.
Which alliance secured the majority in the 2024 Indian general elections?,The National Democratic Alliance (NDA) secured the majority.
How many seats did the NDA win in the 2024 Indian general elections?,The NDA won 293 seats.
How many seats did the BJP win in the 2024 Indian general elections?,The BJP won 240 seats.
How many seats did the INDIA coalition win in the 2024 Indian general elections?,The INDIA coalition won 234 seats.
How many seats did the Congress party win in the 2024 Indian general elections?,The Congress party won 99 seats.
When was Narendra Modi sworn in as Prime Minister for his third term?,"Narendra Modi was sworn in on June 9, 2024."
How did the duration of the 2024 elections compare to the 1951-52 elections?,"The 2024 elections lasted 44 days, second only to the 1951-52 elections."
How many people were eligible to vote in the 2024 Indian general elections?,More than 968 million people were eligible to vote.
What percentage of the Indian population was eligible to vote in the 2024 elections?,70 percent of the population was eligible to vote.
How many voters participated in the 2024 Indian general elections?,642 million voters participated.
How many women participated in the 2024 Indian general elections?,312 million women participated.
Which states had legislative assembly elections simultaneously with the 2024 general elections?,"Andhra Pradesh, Arunachal Pradesh, Odisha, and Sikkim had legislative assembly elections simultaneously.
How many constituencies had by-elections during the 2024 general elections?,By-elections were held in 25 constituencies.
How many legislative assemblies had by-elections during the 2024 general elections?,By-elections were held in 12 legislative assemblies.
Who was the incumbent Prime Minister during the 2024 general elections?,Narendra Modi was the incumbent Prime Minister.
How many terms had Narendra Modi completed before running for the third term in 2024?,Narendra Modi had completed two terms.
Which party enjoyed an absolute majority in the 2014 and 2019 elections?,The Bharatiya Janata Party (BJP) enjoyed an absolute majority.
What was the primary opposition coalition in the 2024 general elections?,The Indian National Developmental Inclusive Alliance (INDIA) was the primary opposition coalition.
When was the INDIA coalition formed?,The INDIA coalition was formed in 2023.
What were the criticisms of the 2024 Indian general elections?,"The elections were criticized for lack of action on hate speeches, EVM malfunctioning, and suppression of political opponents."
What issues were reported with the Electronic Voting Machines (EVMs) in the 2024 elections?,EVM malfunctioning was reported.
What was the seat change for the BJP compared to the 2019 elections?,The BJP's seats decreased from 303 in 2019 to 240 in 2024.
How many seats did the NDA secure in the 2019 general elections?,The NDA secured 353 seats in the 2019 general elections.
